stub,title,img,student,video,award
av-ride-hailing,Automated Vehicles: Are people ready for driverless rideshares?,png,"Chris Krueger, Sanskriti Shivhare, Vikram Gill, and Odelele Adeyeye",NA,NA
leaf-blowers,Gas vs Electric Leaf Blowers,png,"Raffa Nimir,Piryanka Desai and Sameer Bhosle",NA,NA
remote-work,The Future of Work: What would it take to bring people back into the office?,png,"Michael Salceda, Haokai Du, Sravya Jahagirdhar, and Malyadri Reddy Mule",https://www.youtube.com/watch?v=VtFG4WQTl1U,NA
student-housing,Off-Campus Student Housing,png,"Maximillian Kostyashkin, Alejandro Medina Mora, and Bassant Sabry",NA,NA
world-cup,World Cup Packages,png,"Kyle Arbide, Ava Gholipour, Prathyaj Mantha, Vibhav Lekhi",NA,NA
